key,fr,en,es,it,pt
popup_match_season_title,>> Suivez votre saison,>> Follow your season,>> Sigue tu temporada,>> Segui la tua stagione,>> Acompanhe sua temporada
popup_match_season_body,Consultez le classement et suivez la progression de votre club.,Check the standings and track your club’s progress.,Consulta la clasificación y sigue el progreso de tu club.,Controlla la classifica e segui i progressi del tuo club.,Veja a classificação e acompanhe o progresso do seu clube.
popup_match_extra_title,>> Relevez des défis supplémentaires,>> Take on extra challenges,>> Acepta nuevos desafíos,>> Affronta nuove sfide,>> Enfrente novos desafios
popup_match_extra_body,Participez aux tournois et accomplissez des missions pour développer votre club.,Join tournaments and complete missions to grow your club.,Participa en torneos y completa misiones para desarrollar tu club.,Partecipa ai tornei e completa missioni per far crescere il tuo club.,Participe de torneios e complete missões para desenvolver seu clube.
stadium.level,Niveau,Level,Nivel,Livello,Nível
stadium.target_level,Niveau cible,Target level,Nivel objetivo,Livello obiettivo,Nível alvo
stadium.capacity,Capacité,Capacity,Capacidad,Capacità,Capacidade
stadium.cost,Coût,Cost,Coste,Costo,Custo
stadium.duration,Durée,Duration,Duración,Durata,Duração
stadium.confirm_upgrade,Confirmer l'évolution,Confirm upgrade,Confirmar mejora,Conferma miglioramento,Confirmar melhoria
stadium.upgrade.save_missing,Save introuvable.,Save not found.,Guardado no encontrado.,Salvataggio non trovato.,Save não encontrado.
stadium.upgrade.next_level_missing,Fonction stadium_next_level introuvable.,stadium_next_level function not found.,Función stadium_next_level no encontrada.,Funzione stadium_next_level non trovata.,Função stadium_next_level não encontrada.
stadium.upgrade.none_available,Aucune évolution de stade disponible.,No stadium upgrade available.,No hay mejora de estadio disponible.,Nessun miglioramento stadio disponibile.,Nenhuma melhoria de estádio disponível.
stadium.upgrade.works_in_progress,Travaux en cours vers le niveau {level}\nMatchs restants : {remaining},Upgrade in progress to level {level}\nMatches remaining: {remaining},Mejora en curso hacia el nivel {level}\nPartidos restantes: {remaining},Lavori in corso verso il livello {level}\nPartite rimanenti: {remaining},Obras em curso para o nível {level}\nPartidas restantes: {remaining}
stadium.upgrade.launch_missing,Fonction stadium_launch_upgrade introuvable.,stadium_launch_upgrade function not found.,Función stadium_launch_upgrade no encontrada.,Funzione stadium_launch_upgrade non trovata.,Função stadium_launch_upgrade não encontrada.
stadium.upgrade.invalid_response,Réponse invalide.,Invalid response.,Respuesta no válida.,Risposta non valida.,Resposta inválida.
stadium.upgrade.insufficient_funds,Fonds insuffisants.\nWallet disponible : {wallet} €,Insufficient funds.\nAvailable wallet: {wallet} €,Fondos insuficientes.\nWallet disponible: {wallet} €,Fondi insufficienti.\nWallet disponibile: {wallet} €,Fundos insuficientes.\nWallet disponível: {wallet} €
stadium.upgrade.invalid_step,Palier invalide.,Invalid tier.,Nivel no válido.,Livello non valido.,Patamar inválido.
stadium.upgrade.impossible,Évolution impossible.,Upgrade impossible.,Mejora imposible.,Miglioramento impossibile.,Melhoria impossível.
stadium.upgrade.applied,Évolution du stade appliquée.,Stadium upgrade applied.,Mejora del estadio aplicada.,Miglioramento dello stadio applicato.,Melhoria do estádio aplicada.
stadium.upgrade.started,Travaux lancés pour {duration} match(s).,Upgrade started for {duration} match(es).,Obras iniciadas por {duration} partido(s).,Lavori avviati per {duration} partita/e.,Obras iniciadas por {duration} partida(s).
club.popularity,Popularité,Popularity,Popularidad,Popolarità,Popularidade

btn.confirm,Confirmer,Confirm,Confirmar,Conferma,Confirmar
season.ball.season,Saison,Season,Temporada,Stagione,Temporada
season.ball.matches,Matchs,Matches,Partidos,Partite,Partidas
season.label,Season {season} - Day {day},Season {season} - Day {day},Temporada {season} - Día {day},Stagione {season} - Giorno {day},Temporada {season} - Dia {day}
END_SEASON_TITLE,Fin de saison,End of season,Fin de temporada,Fine stagione,Fim da temporada
END_SEASON_RANK,Votre équipe termine à la place %d.,Your team finishes in position %d.,Tu equipo termina en la posición %d.,La tua squadra termina in posizione %d.,Sua equipe termina na posição %d.
END_SEASON_RANK_1,Votre équipe termine à la 1re place.,Your team finishes 1st.,Tu equipo termina en 1ª posición.,La tua squadra termina al 1° posto.,Sua equipe termina em 1º lugar.
END_SEASON_RANK_2,Votre équipe termine à la 2e place.,Your team finishes 2nd.,Tu equipo termina en 2ª posición.,La tua squadra termina al 2° posto.,Sua equipe termina em 2º lugar.
END_SEASON_SUMMARY,Bilan,Summary,Resumen,Riepilogo,Resumo
END_SEASON_WINS,Victoires,Wins,Victorias,Vittorie,Vitórias
END_SEASON_LOSSES,Défaites,Losses,Derrotas,Sconfitte,Derrotas
END_SEASON_NEW_SEASON,Commencer la nouvelle saison,Start new season,Comenzar nueva temporada,Inizia nuova stagione,Iniciar nova temporada
login.step_email,1. Entrez votre email,1. Enter your email,1. Introduce tu email,1. Inserisci la tua email,1. Insira seu e-mail
login.step_send_code,2. Recevoir le code (ouvrez ensuite votre email pour voir le code),2. Get code (then check your email for the code),2. Recibir el código (luego abre tu correo para ver el código),2. Ricevi il codice (poi apri la tua email per vedere il codice),2. Receber o código (depois abra seu email para ver o código)
login.step_code,3. Saisissez le code,3. Enter the code,3. Introduce el código,3. Inserisci il codice,3. Digite o código
login.step_validate,4. Validez,4. Validate,4. Valida,4. Conferma,4. Validar
login.step.email,1. Entrez votre email,1. Enter your email,1. Introduce tu email,1. Inserisci la tua email,1. Digite seu email
login.step.send_code_hint,2. Recevoir le code (ouvrez ensuite votre email pour voir le code),2. Get code (then check your email for the code),2. Recibir el código (luego abre tu correo para ver el código),2. Ricevi il codice (poi apri la tua email per vedere il codice),2. Receber o código (depois abra seu email para ver o código)
login.step.code,3. Saisissez le code,3. Enter the code,3. Introduce el código,3. Inserisci il codice,3. Digite o código
login.step.validate,4. Validez,4. Validate,4. Valida,4. Convalida,4. Validar
login.btn.send_code,Recevoir le code,Get code,Recibir el código,Ricevi il codice,Receber o código
login.btn.validate,Valider,Validate,Validar,Convalida,Validar
tournois.select_tournament,Sélectionnez un tournoi,Select a tournament,Seleccione un torneo,Seleziona un torneo,Selecione um torneio
tournois.launch_round,Lancer le tour,Launch round,Lanzar ronda,Lancia turno,Lançar rodada
tournois.beginner,Débutant,Beginner,Principiante,Principiante,Iniciante
tournois.current_round,Tour actuel,Current round,Ronda actual,Turno attuale,Rodada atual
tournois.round,Tour,Round,Ronda,Turno,Rodada
tournois.tournament_a,Tournoi A,Tournament A,Torneo A,Torneo A,Torneio A
tournois.intermediate,Intermédiaire,Intermediate,Intermedio,Intermedio,Intermediário
tournois.elite,Élite,Elite,Élite,Élite,Elite

myteam.poste,Poste,Position,Posición,Posizione,Posição
myteam.age,Âge,Age,Edad,Età,Idade
myteam.performance,Performance,Performance,Rendimiento,Prestazione,Desempenho
myteam.salary,Salaire,Salary,Salario,Salario,Salário

myteam.header.poste,Poste,Position,Posición,Posizione,Posição
myteam.header.age,Âge,Age,Edad,Età,Idade
myteam.header.performance,Performance,Performance,Rendimiento,Prestazione,Desempenho
myteam.header.salary,Salaire,Salary,Salario,Salario,Salário

myteam.motivation,Motivation,Motivation,Motivación,Motivazione,Motivação
myteam.header.motivation,Motivation,Motivation,Motivación,Motivazione,Motivação

classement.evolution,Évolution classement,Ranking evolution,Evolución clasificación,Evoluzione classifica,Evolução classificação

standings.graph.title,Évolution classement,Ranking evolution,Evolución clasificación,Evoluzione classifica,Evolução classificação
standings.team_header,Équipe,Team,Equipo,Squadra,Equipe

tournois.intermediate_selected_info,Intermédiaire sélectionné (écran bracket à brancher ensuite).,Intermediate selected (bracket screen to be connected later).,Intermedio seleccionado (pantalla del cuadro por conectar después).,Intermedio selezionato (schermata del tabellone da collegare in seguito).,Intermediário selecionado (tela da chave a conectar depois).
tournois.elite_selected_info,Élite sélectionné (écran bracket à brancher ensuite).,Elite selected (bracket screen to be connected later).,Élite seleccionado (pantalla del cuadro por conectar después).,Élite selezionato (schermata del tabellone da collegare in seguito).,Elite selecionado (tela da chave a conectar depois).
tournois.victory_title,Victoire !,Victory!,¡Victoria!,Vittoria!,Vitória!
tournois.victory_subtitle,Victoire dans le Tournoi A,Victory in Tournament A,Victoria en el Torneo A,Vittoria nel Torneo A,Vitória no Torneio A
common.close,Fermer,Close,Cerrar,Chiudi,Fechar
tournois.reward_title,Récompense du tournoi,Tournament reward,Recompensa del torneo,Ricompensa del torneo,Recompensa do torneio
tournois.reward_subtitle,Gain d'argent,Prize money,Premio en dinero,Premio in denaro,Prémio em dinheiro

selection.avg_age,Âge moyen,Average age,Edad media,Età media,Idade média
selection.avg_salary,Salaire moyen,Average salary,Salario medio,Salario medio,Salário médio
finance.income.tournaments,Tournois,Tournaments,Torneos,Tornei,Torneios
selection.avg_perf,Perf moyenne,Average performance,Rendimiento medio,Prestazione media,Performance média
tournois.info.teams,Équipes,Teams,Equipos,Squadre,Equipes
tournois.info.entry_fee,Adhésion,Entry fee,Inscripción,Iscrizione,Adesão
tournois.info.runner_up,Finaliste,Runner-up,Finalista,Finalista,Finalista
tournois.info.champion,Champion,Champion,Campeón,Campione,Campeão
tournois.info.tokens,tokens,tokens,tokens,tokens,tokens
finance.expenses.tournament_fees,Frais tournois,Tournament fees,Gastos torneos,Spese tornei,Taxas torneios
tournois.victory_subtitle_intermediate,Victoire dans le tournoi Intermédiaire,Victory in the Intermediate tournament,Victoria en el torneo Intermedio,Vittoria nel torneo Intermedio,Vitória no torneio Intermediário
tournois.victory_subtitle_elite,Victoire dans le tournoi Élite,Victory in the Elite tournament,Victoria en el torneo Élite,Vittoria nel torneo Élite,Vitória no torneio Elite
stadium_intro_title,Stadium,Stadium,Stadium,Stadium,Stadium
stadium_intro_capacity,>> Gérez votre stade et augmentez sa capacité,>> Manage your stadium and increase its capacity,>> Gestiona tu estadio y aumenta su capacidad,>> Gestisci il tuo stadio e aumentane la capienza,>> Gerencie seu estádio e aumente sua capacidade
stadium_intro_shop,>> Boutique : fixez vos prix pour générer des revenus,>> Shop: set your prices to generate revenue,>> Tienda: fija tus precios para generar ingresos,>> Negozio: imposta i prezzi per generare entrate,>> Loja: defina seus preços para gerar receita
stadium_intro_ticketing,>> Billetterie : ajustez prix et places pour optimiser vos gains,>> Ticketing: adjust prices and seat numbers to optimize your earnings,>> Taquilla: ajusta precios y plazas para optimizar tus ganancias,>> Biglietteria: regola prezzi e posti per ottimizzare i tuoi guadagni,>> Bilheteria: ajuste preços e quantidade de lugares para otimizar seus ganhos
stadium_btn_ticketing,Billetterie,Ticketing,Billettería,Biglietteria,Bilheteria
stadium_btn_shop,Boutique,Shop,Tienda,Negozio,Loja
stadium_btn_upgrade,Évolution Stade,Stadium Upgrade,Mejora del estadio,Evoluzione stadio,Evolução do estádio
missions.ui.active,Mission active,Active mission,Misión activa,Missione attiva,Missão ativa
missions.ui.progress,Progression,Progress,Progreso,Progresso,Progresso
missions.ui.reward,Gain,Reward,Recompensa,Ricompensa,Recompensa
missions.ui.claim,Réclamer,Claim,Reclamar,Riscuoti,Resgatar
missions.ui.in_progress,Mission en cours,Mission in progress,Misión en curso,Missione in corso,Missão em andamento
missions.ui.done,Terminé,Done,Completado,Completato,Concluído
missions.ui.all_done,Toutes les missions du niveau sont terminées.,All missions for this level are completed.,Todas las misiones del nivel están completadas.,Tutte le missioni del livello sono completate.,Todas as missões do nível estão concluídas.
missions.lv1.win_1,Gagner 1 match,Win 1 match,Ganar 1 partido,Vincere 1 partita,Vencer 1 partida
missions.lv1.pts_75_1,Marquer 75 points,Score 75 points,Anotar 75 puntos,Segnare 75 punti,Marcar 75 pontos
missions.lv1.price_1,Ajuster un prix (boutique ou billetterie),Adjust a price (shop or ticketing),Ajustar un precio (tienda o taquilla),Regolare un prezzo (shop o biglietteria),Ajustar um preço (loja ou bilheteria)
missions.lv1.stadium_1,Débloquer un niveau de stade,Unlock a stadium level,Desbloquear un nivel de estadio,Sbloccare un livello stadio,Desbloquear um nível de estádio
missions.lv2.win_3,Gagner 3 matchs,Win 3 matches,Ganar 3 partidos,Vincere 3 partite,Vencer 3 partidas
missions.lv2.pts_75_2,Marquer 75 points 2 fois,Score 75 points twice,Anotar 75 puntos 2 veces,Segnare 75 punti 2 volte,Marcar 75 pontos 2 vezes
missions.lv2.price_2,Ajuster des prix 2 fois (boutique ou billetterie),Adjust prices twice (shop or ticketing),Ajustar precios 2 veces (tienda o taquilla),Regolare i prezzi 2 volte (shop o biglietteria),Ajustar preços 2 vezes (loja ou bilheteria)
missions.lv2.streak_2,Gagner 2 matchs d'affilée,Win 2 matches in a row,Ganar 2 partidos seguidos,Vincere 2 partite di fila,Vencer 2 partidas seguidas
mercato.closed.title,Mercato fermé,Transfer market closed,Mercado cerrado,Mercato chiuso,Mercado fechado
mercato.closed.body,"Mercato fermé.
Ouverture : avant la saison jusqu'au match 2 inclus, puis pendant les matchs 10, 11 et 12.","Transfer market closed.
Open before the season up to match 2 inclusive, then during matches 10, 11 and 12.","Mercado cerrado.
Abierto antes de la temporada hasta el partido 2 inclusive, luego durante los partidos 10, 11 y 12.","Mercato chiuso.
Aperto prima della stagione fino alla partita 2 inclusa, poi durante le partite 10, 11 e 12.","Mercado fechado.
Aberto antes da temporada até o jogo 2 inclusive, depois durante os jogos 10, 11 e 12."
mercato.buy,Acheter,Buy,Comprar,Acquistare,Comprar
mercato.bought,Acheté,Bought,Comprado,Acquistato,Comprado
common.back,Retour,Back,Volver,Indietro,Voltar
mercato.title,Mercato,Transfer Market,Mercado,Mercato,Mercado
mercato.col.name,Nom,Name,Nombre,Nome,Nome
mercato.col.position,Poste,Position,Posición,Posizione,Posição
mercato.col.age,Âge,Age,Edad,Età,Idade
mercato.col.performance,Performance,Performance,Rendimiento,Prestazione,Desempenho
mercato.col.salary,Salaire,Salary,Salario,Salario,Salário
mercato.new_salaries_total,Nouveaux salaires,New salaries,Nuevos salarios,Nuovi salari,Novos salários
myteam.btn.sell,Vendre,Sell,Vender,Vendi,Vender
myteam.btn.sold,Vendu,Sold,Vendido,Venduto,Vendido
myteam.btn.confirm,Confirmer,Confirm,Confirmar,Conferma,Confirmar
mercato.closed.open_from_season2,Ouvert à partir de la saison 2 !,Open from Season 2!,¡Abierto desde la temporada 2!,Aperto dalla stagione 2!,Aberto a partir da temporada 2!
club_identity.not_enough_tokens,Pas assez de tokens,Not enough tokens,No tienes suficientes tokens,Token insufficienti,Tokens insuficientes
